"Movie_Name","Field1_Link","Time","Genre","Year","Rating","Description","Director","Field6_Link","Actor","Field7_Link","Field8_Link","Field9_Link","Field10_Link"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt","142 min","Drama","(1994)","9.3","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Frank Darabont","https://www.imdb.com/name/nm0001104/?ref_=adv_li_dr_0","William Sadler","https://www.imdb.com/name/nm0000209/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000151/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0348409/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0006669/?ref_=adv_li_st_3"
"The Godfather","https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt","175 min","Crime, Drama","(1972)","9.2","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Francis Ford Coppola","https://www.imdb.com/name/nm0000338/?ref_=adv_li_dr_0","Diane Keaton","https://www.imdb.com/name/nm0000008/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000199/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001001/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000473/?ref_=adv_li_st_3"
"The Dark Knight","https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt","152 min","Action, Crime, Drama","(2008)","9.0","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christopher Nolan","https://www.imdb.com/name/nm0634240/?ref_=adv_li_dr_0","Michael Caine","https://www.imdb.com/name/nm0000288/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0005132/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001173/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000323/?ref_=adv_li_st_3"
"The Godfather: Part II","https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt","202 min","Crime, Drama","(1974)","9.0","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola","https://www.imdb.com/name/nm0000338/?ref_=adv_li_dr_0","Diane Keaton","https://www.imdb.com/name/nm0000199/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000134/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000380/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000473/?ref_=adv_li_st_3"
"12 Angry Men","https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt","96 min","Crime, Drama","(1957)","9.0","A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","Sidney Lumet","https://www.imdb.com/name/nm0001486/?ref_=adv_li_dr_0","John Fiedler","https://www.imdb.com/name/nm0000020/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0002011/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000842/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0275835/?ref_=adv_li_st_3"
"The Lord of the Rings: The Return of the King","https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt","201 min","Action, Adventure, Drama","(2003)","8.9","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Peter Jackson","https://www.imdb.com/name/nm0001392/?ref_=adv_li_dr_0","Orlando Bloom","https://www.imdb.com/name/nm0000704/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0001557/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0005212/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0089217/?ref_=adv_li_st_3"
"Pulp Fiction","https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt","154 min","Crime, Drama","(1994)","8.9","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Quentin Tarantino","https://www.imdb.com/name/nm0000233/?ref_=adv_li_dr_0","Bruce Willis","https://www.imdb.com/name/nm0000237/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000235/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0000168/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0000246/?ref_=adv_li_st_3"
"Schindler's List","https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt","195 min","Biography, Drama, History","(1993)","8.9","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Steven Spielberg","https://www.imdb.com/name/nm0000229/?ref_=adv_li_dr_0","Caroline Goodall","https://www.imdb.com/name/nm0000553/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0000146/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0001426/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0328751/?ref_=adv_li_st_3"
"Inception","https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt","148 min","Action, Adventure, Sci-Fi","(2010)","8.8","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Christopher Nolan","https://www.imdb.com/name/nm0634240/?ref_=adv_li_dr_0","Ken Watanabe","https://www.imdb.com/name/nm0000138/?ref_=adv_li_st_0","https://www.imdb.com/name/nm0330687/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0680983/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0913822/?ref_=adv_li_st_3"
"Soorarai Pottru","https://www.imdb.com/title/tt10189514/?ref_=adv_li_tt","153 min","Drama","(2020)","8.8","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Sudha Kongara","https://www.imdb.com/name/nm1464314/?ref_=adv_li_dr_0","Mohan Babu","https://www.imdb.com/name/nm1421814/?ref_=adv_li_st_0","https://www.imdb.com/name/nm7936195/?ref_=adv_li_st_1","https://www.imdb.com/name/nm0712546/?ref_=adv_li_st_2","https://www.imdb.com/name/nm0595934/?ref_=adv_li_st_3"
