"DayDate","Temp","Desc"
"<span class=""DailyContent--daypartDate--3MM0J"">Tue 08</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">42°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Mainly cloudy. Low 42F. Winds light and variable.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Wed 09</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">63°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Sunshine and clouds mixed. High 63F. Winds N at 5 to 10 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Wed 09</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">43°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Mainly cloudy. Low 43F. Winds light and variable.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Thu 10</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">56°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy skies with gusty winds developing during the afternoon. High 56F. Winds W at 20 to 30 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Thu 10</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">43°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Clear early then increasing cloudiness overnight. Low 43F. Winds NW at 15 to 25 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Fri 11</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">55°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy. High near 55F. Winds NW at 5 to 10 mph.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Fri 11</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">44°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Partly cloudy in the evening. Increasing clouds with periods of showers after midnight. Low 44F. Winds SW at 5 to 10 mph. Chance of rain 50%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sat 12</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">56°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Overcast with rain showers at times. High 56F. Winds SW at 5 to 10 mph. Chance of rain 50%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sat 12</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">46°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Cloudy with occasional showers. Low 46F. Winds ESE at 5 to 10 mph. Chance of rain 50%.</p>"
"<span class=""DailyContent--daypartDate--3MM0J"">Sun 13</span>","<span data-testid=""TemperatureValue"" class=""DailyContent--temp--_8DL5"">57°</span>","<p data-testid=""wxPhrase"" class=""DailyContent--narrative--3AcXd"">Cloudy with occasional rain showers. High 57F. Winds S at 10 to 15 mph. Chance of rain 50%.</p>"
