Title,Title_URL,listeritemindex,Year,Time,genre,Rating,Score,Content,Content_URL,Content1,Content_URL2,Content3,Content_URL4,Content5,Content_URL6,Content7,Content_URL8,Content9,Number10
Shrek der Dritte,https://www.imdb.com/title/tt0413267/?ref_=adv_li_tt,1.,(2007),93 min,"
Animation, Adventure, Comedy            ","6,1","
58        
        Metascore
            ","
    Directors:
Chris Miller, 
Raman Hui
                 | 
    Stars:
Mike Myers, 
Cameron Diaz, 
Eddie Murphy, 
Antonio Banderas
    ",https://www.imdb.com/name/nm1844237/?ref_=adv_li_dr_0,Chris Miller,https://www.imdb.com/name/nm0401203/?ref_=adv_li_dr_1,Raman Hui,https://www.imdb.com/name/nm0000196/?ref_=adv_li_st_0,Mike Myers,https://www.imdb.com/name/nm0000139/?ref_=adv_li_st_1,Cameron Diaz,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_2,Eddie Murphy,$320.71M
Ich - Einfach unverbesserlich,https://www.imdb.com/title/tt1323594/?ref_=adv_li_tt,2.,(2010),95 min,"
Animation, Comedy, Crime            ","7,6","
72        
        Metascore
            ","
    Directors:
Pierre Coffin, 
Chris Renaud
                 | 
    Stars:
Steve Carell, 
Jason Segel, 
Russell Brand, 
Julie Andrews
    ",https://www.imdb.com/name/nm1853544/?ref_=adv_li_dr_0,Pierre Coffin,https://www.imdb.com/name/nm0719208/?ref_=adv_li_dr_1,Chris Renaud,https://www.imdb.com/name/nm0136797/?ref_=adv_li_st_0,Steve Carell,https://www.imdb.com/name/nm0781981/?ref_=adv_li_st_1,Jason Segel,https://www.imdb.com/name/nm1258970/?ref_=adv_li_st_2,Russell Brand,$251.51M
Bruce Allmächtig,https://www.imdb.com/title/tt0315327/?ref_=adv_li_tt,3.,(2003),101 min,"
Comedy, Fantasy            ","6,8","
46        
        Metascore
            ","
    Director:
Tom Shadyac
                 | 
    Stars:
Jim Carrey, 
Jennifer Aniston, 
Morgan Freeman, 
Philip Baker Hall
    ",https://www.imdb.com/name/nm0001723/?ref_=adv_li_dr_0,Tom Shadyac,https://www.imdb.com/name/nm0000120/?ref_=adv_li_st_0,Jim Carrey,https://www.imdb.com/name/nm0000098/?ref_=adv_li_st_1,Jennifer Aniston,https://www.imdb.com/name/nm0000151/?ref_=adv_li_st_2,Morgan Freeman,https://www.imdb.com/name/nm0001311/?ref_=adv_li_st_3,Philip Baker Hall,$242.83M
Für immer Shrek,https://www.imdb.com/title/tt0892791/?ref_=adv_li_tt,4.,(2010),93 min,"
Animation, Adventure, Comedy            ","6,3","
58        
        Metascore
            ","
    Director:
Mike Mitchell
                 | 
    Stars:
Mike Myers, 
Cameron Diaz, 
Eddie Murphy, 
Antonio Banderas
    ",https://www.imdb.com/name/nm0593610/?ref_=adv_li_dr_0,Mike Mitchell,https://www.imdb.com/name/nm0000196/?ref_=adv_li_st_0,Mike Myers,https://www.imdb.com/name/nm0000139/?ref_=adv_li_st_1,Cameron Diaz,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_2,Eddie Murphy,https://www.imdb.com/name/nm0000104/?ref_=adv_li_st_3,Antonio Banderas,$238.37M
Beverly Hills Cop - Ich lös' den Fall auf jeden Fall,https://www.imdb.com/title/tt0086960/?ref_=adv_li_tt,5.,(1984),105 min,"
Action, Comedy, Crime            ","7,3","
66        
        Metascore
            ","
    Director:
Martin Brest
                 | 
    Stars:
Eddie Murphy, 
Judge Reinhold, 
John Ashton, 
Lisa Eilbacher
    ",https://www.imdb.com/name/nm0000976/?ref_=adv_li_dr_0,Martin Brest,https://www.imdb.com/name/nm0000552/?ref_=adv_li_st_0,Eddie Murphy,https://www.imdb.com/name/nm0001662/?ref_=adv_li_st_1,Judge Reinhold,https://www.imdb.com/name/nm0039226/?ref_=adv_li_st_2,John Ashton,https://www.imdb.com/name/nm0002060/?ref_=adv_li_st_3,Lisa Eilbacher,$234.76M
Ted,https://www.imdb.com/title/tt1637725/?ref_=adv_li_tt,6.,(2012),106 min,"
Comedy            ","6,9","
62        
        Metascore
            ","
    Director:
Seth MacFarlane
                 | 
    Stars:
Mark Wahlberg, 
Mila Kunis, 
Seth MacFarlane, 
Joel McHale
    ",https://www.imdb.com/name/nm0532235/?ref_=adv_li_dr_0,Seth MacFarlane,https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_0,Mark Wahlberg,https://www.imdb.com/name/nm0005109/?ref_=adv_li_st_1,Mila Kunis,https://www.imdb.com/name/nm0532235/?ref_=adv_li_st_2,Seth MacFarlane,https://www.imdb.com/name/nm0570364/?ref_=adv_li_st_3,Joel McHale,$218.82M
Madagascar 3: Flucht durch Europa,https://www.imdb.com/title/tt1277953/?ref_=adv_li_tt,7.,(2012),95 min,"
Animation, Adventure, Comedy            ","6,8","
60        
        Metascore
            ","
    Directors:
Eric Darnell, 
Tom McGrath, 
Conrad Vernon
                 | 
    Stars:
Ben Stiller, 
Jada Pinkett Smith, 
Chris Rock, 
David Schwimmer
    ",https://www.imdb.com/name/nm0201509/?ref_=adv_li_dr_0,Eric Darnell,https://www.imdb.com/name/nm0569891/?ref_=adv_li_dr_1,Tom McGrath,https://www.imdb.com/name/nm0970447/?ref_=adv_li_dr_2,Conrad Vernon,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_0,Ben Stiller,https://www.imdb.com/name/nm0000586/?ref_=adv_li_st_1,Jada Pinkett Smith,$216.39M
Kung Fu Panda,https://www.imdb.com/title/tt0441773/?ref_=adv_li_tt,8.,(2008),92 min,"
Animation, Action, Adventure            ","7,5","
74        
        Metascore
            ","
    Directors:
Mark Osborne, 
John Stevenson
                 | 
    Stars:
Jack Black, 
Ian McShane, 
Angelina Jolie, 
Dustin Hoffman
    ",https://www.imdb.com/name/nm0651706/?ref_=adv_li_dr_0,Mark Osborne,https://www.imdb.com/name/nm0828970/?ref_=adv_li_dr_1,John Stevenson,https://www.imdb.com/name/nm0085312/?ref_=adv_li_st_0,Jack Black,https://www.imdb.com/name/nm0574534/?ref_=adv_li_st_1,Ian McShane,https://www.imdb.com/name/nm0001401/?ref_=adv_li_st_2,Angelina Jolie,$215.43M
Monsters vs. Aliens,https://www.imdb.com/title/tt0892782/?ref_=adv_li_tt,9.,(2009),94 min,"
Animation, Action, Adventure            ","6,4","
56        
        Metascore
            ","
    Directors:
Rob Letterman, 
Conrad Vernon
                 | 
    Stars:
Reese Witherspoon, 
Rainn Wilson, 
Stephen Colbert, 
Seth Rogen
    ",https://www.imdb.com/name/nm1224299/?ref_=adv_li_dr_0,Rob Letterman,https://www.imdb.com/name/nm0970447/?ref_=adv_li_dr_1,Conrad Vernon,https://www.imdb.com/name/nm0000702/?ref_=adv_li_st_0,Reese Witherspoon,https://www.imdb.com/name/nm0933988/?ref_=adv_li_st_1,Rainn Wilson,https://www.imdb.com/name/nm0170306/?ref_=adv_li_st_2,Stephen Colbert,$198.35M
Madagascar,https://www.imdb.com/title/tt0351283/?ref_=adv_li_tt,10.,(2005),86 min,"
Animation, Adventure, Comedy            ","6,9","
57        
        Metascore
            ","
    Directors:
Eric Darnell, 
Tom McGrath
                 | 
    Stars:
Chris Rock, 
Ben Stiller, 
David Schwimmer, 
Jada Pinkett Smith
    ",https://www.imdb.com/name/nm0201509/?ref_=adv_li_dr_0,Eric Darnell,https://www.imdb.com/name/nm0569891/?ref_=adv_li_dr_1,Tom McGrath,https://www.imdb.com/name/nm0001674/?ref_=adv_li_st_0,Chris Rock,https://www.imdb.com/name/nm0001774/?ref_=adv_li_st_1,Ben Stiller,https://www.imdb.com/name/nm0001710/?ref_=adv_li_st_2,David Schwimmer,$193.60M
